Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/640V-L15,Lithium Iron Phosphate,"78.4 kW, 156.8 kWh, lithium iron phosphate battery, with 10 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,156.8,78.4,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1075.2V-E15,Lithium Iron Phosphate,"79.56 kW, 159.12 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,159.124,79.562,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1075.2V-L15,Lithium Iron Phosphate,"159.13 kW, 159.13 kWh, lithium iron phosphate battery, with 28 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,159.13,159.13,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1113.6V-E15,Lithium Iron Phosphate,"82.40 kW, 164.80 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,164.807,82.4035,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1113.6V-L15,Lithium Iron Phosphate,"164.81 kW, 164.81 kWh, lithium iron phosphate battery, with 29 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,164.81,164.81,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1152V-E15,Lithium Iron Phosphate,"85.24 kW, 170.49 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,170.49,85.245,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1152V-L15,Lithium Iron Phosphate,"170.5 kW, 170.5 kWh, lithium iron phosphate battery, with 30 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,170.5,170.5,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/704V-E15,Lithium Iron Phosphate,"86.24 kW, 172.48 kWh, lithium iron phosphate battery, with 11 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,172.48,86.24,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/704V-L15,Lithium Iron Phosphate,"86.24 kW, 172.48 kWh, lithium iron phosphate battery, with 11 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,172.48,86.24,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1190.4V-E15,Lithium Iron Phosphate,"88.08 kW, 176.17 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,176.173,88.0865,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1190.4V-L15,Lithium Iron Phosphate,"176.18 kW, 176.18 kWh, lithium iron phosphate battery, with 31 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,176.18,176.18,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1228.8V-E15,Lithium Iron Phosphate,"90.92 kW, 181.85 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,181.856,90.928,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1228.8V-L15,Lithium Iron Phosphate,"181.86 kW, 181.86 kWh, lithium iron phosphate battery, with 32 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,181.86,181.86,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1267.2V-E15,Lithium Iron Phosphate,"93.76 kW, 187.53 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,187.539,93.7695,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1267.2V-L15,Lithium Iron Phosphate,"187.55 kW, 187.55 kWh, lithium iron phosphate battery, with 33 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,187.55,187.55,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/768V-E15,Lithium Iron Phosphate,"94.08 kW, 188.16 kWh, lithium iron phosphate battery, with 12 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,188.16,94.08,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/768V-L15,Lithium Iron Phosphate,"94.08 kW, 188.16 kWh, lithium iron phosphate battery, with 12 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,188.16,94.08,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-100-38.4/1305.6V-E15,Lithium Iron Phosphate,"96.61 kW, 193.22 kWh, lithium iron phosphate battery",TUV Rheinland,19/11/2020,Ed. 2 : 2018,193.222,96.611,No Information Submitted,No Information Submitted,N,,01/08/2023,
"PYLON TECHNOLOGIES CO.,LTD",,PowerCube-M3A-180-38.4/1305.6V-L15,Lithium Iron Phosphate,"193.23 kW, 193.23 kWh, lithium iron phosphate battery, with 34 battery modules.",TUV Rheinland of North America,01/12/2022,Ed. 2 : 2018,193.23,193.23,No Information Submitted,No Information Submitted,N,,21/07/2023,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/832V-E15,Lithium Iron Phosphate,"101.92 kW, 203.84 kWh, lithium iron phosphate battery, with 13 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,203.84,101.92,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/832V-L15,Lithium Iron Phosphate,"101.92 kW, 203.84 kWh, lithium iron phosphate battery, with 13 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,203.84,101.92,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/896V-E15,Lithium Iron Phosphate,"109.76 kW, 219.52 kWh, lithium iron phosphate battery, with 14 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,219.52,109.76,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/896V-L15,Lithium Iron Phosphate,"109.76 kW, 219.52 kWh, lithium iron phosphate battery, with 14 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,219.52,109.76,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/960V-E15,Lithium Iron Phosphate,"117.6 kW, 235.2 kWh, lithium iron phosphate battery, with 15 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,235.2,117.6,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/960V-L15,Lithium Iron Phosphate,"117.6 kW, 235.2 kWh, lithium iron phosphate battery, with 15 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,235.2,117.6,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1024V-E15,Lithium Iron Phosphate,"125.44 kW, 250.88 kWh, lithium iron phosphate battery, with 16 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,250.88,125.44,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1024V-L15,Lithium Iron Phosphate,"125.44 kW, 250.88 kWh, lithium iron phosphate battery, with 16 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,250.88,125.44,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1088V-E15,Lithium Iron Phosphate,"133.28 kW, 266.56 kWh, lithium iron phosphate battery, with 17 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,266.56,133.28,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1088V-L15,Lithium Iron Phosphate,"133.28 kW, 266.56 kWh, lithium iron phosphate battery, with 17 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,266.56,133.28,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1152V-E15,Lithium Iron Phosphate,"141.12 kW, 282.24 kWh, lithium iron phosphate battery, with 18 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,282.24,141.12,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1152V-L15,Lithium Iron Phosphate,"141.12 kW, 282.24 kWh, lithium iron phosphate battery, with 18 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,282.24,141.12,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1216V-E15,Lithium Iron Phosphate,"148.96 kW, 297.92 kWh, lithium iron phosphate battery, with 19 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,297.92,148.96,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1216V-L15,Lithium Iron Phosphate,"148.96 kW, 297.92 kWh, lithium iron phosphate battery, with 19 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,297.92,148.96,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1280V-E15,Lithium Iron Phosphate,"156.8 kW, 313.6 kWh, lithium iron phosphate battery, with 20 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,313.6,156.8,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1280V-L15,Lithium Iron Phosphate,"156.8 kW, 313.6 kWh, lithium iron phosphate battery, with 20 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,313.6,156.8,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1344V-E15,Lithium Iron Phosphate,"164.64 kW, 329.28 kWh, lithium iron phosphate battery, with 21 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,329.28,164.64,No Information Submitted,No Information Submitted,N,,11/01/2024,
"PYLON TECHNOLOGIES CO.,LTD",,Powercube-M5-180-64/1344V-L15,Lithium Iron Phosphate,"164.64 kW, 329.28 kWh, lithium iron phosphate battery, with 21 battery module.",TUV Rheinland,16/08/2023,Ed. 3 : 2022,329.28,164.64,No Information Submitted,No Information Submitted,N,,11/01/2024,
Renon Power Technology Inc,,R-EB005151,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-EB005151-H,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XC005151,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XC005151-H,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XL004011,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL004011-H,Lithium Iron Phosphate,"4.8 kW, 4.8 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,4.8,4.8,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-EB005161,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-EB005161-H,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XC005161,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XC005161-H,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,17/05/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,21/08/2023,
Renon Power Technology Inc,,R-XL005011,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL005011-H,Lithium Iron Phosphate,"5 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,5.12,5,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL009021,Lithium Iron Phosphate,"9.6 kW, 9.6 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,9.6,9.6,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL009021-H,Lithium Iron Phosphate,"9.6 kW, 9.6 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,9.6,9.6,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL010021,Lithium Iron Phosphate,"10 kW, 10.24 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,10.24,10,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL010021-H,Lithium Iron Phosphate,"10 kW, 10.24 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,10.24,10,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL014031,Lithium Iron Phosphate,"14.4 kW, 14.4 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,14.4,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL014031-H,Lithium Iron Phosphate,"14.4 kW, 14.4 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,14.4,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL015031,Lithium Iron Phosphate,"15 kW, 15.36 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,15.36,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL015031-H,Lithium Iron Phosphate,"15 kW, 15.36 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,15.36,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL019041,Lithium Iron Phosphate,"14.4 kW, 19.2 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,19.2,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL019041-H,Lithium Iron Phosphate,"14.4 kW, 19.2 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,19.2,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL020041,Lithium Iron Phosphate,"15 kW, 20.48 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,20.48,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL020041-H,Lithium Iron Phosphate,"15 kW, 20.48 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,20.48,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL024051,Lithium Iron Phosphate,"14.4 kW, 24 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,24,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL024051-H,Lithium Iron Phosphate,"14.4 kW, 24 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,24,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL025051,Lithium Iron Phosphate,"15 kW, 25.6 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,25.6,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL025051-H,Lithium Iron Phosphate,"15 kW, 25.6 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,25.6,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL028061,Lithium Iron Phosphate,"14.4 kW, 28.8 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,28.8,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL028061-H,Lithium Iron Phosphate,"14.4 kW, 28.8 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,28.8,14.4,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL030061,Lithium Iron Phosphate,"15 kW, 30.72 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,30.72,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
Renon Power Technology Inc,,R-XL030061-H,Lithium Iron Phosphate,"15 kW, 30.72 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 3 : 2022,30.72,15,No Information Submitted,No Information Submitted,N,,03/07/2023,
RNG International Inc,,RES0505BS-51LFP,Lithium Iron Phosphate,"2.5 kW, 5 kWh lithium iron phosphate battery",CSA Group,14/09/2022,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,11/04/2023,
RNG International Inc,,RES1009BS-51LFP,Lithium Iron Phosphate,"5 kW, 10 kWh lithium iron phosphate battery",CSA Group,14/09/2022,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,11/04/2023,
RNG International Inc,,RES1510BS-51LFP,Lithium Iron Phosphate,"7.7 kW, 15 kWh lithium iron phosphate battery",CSA Group,14/09/2022,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,11/04/2023,
RNG International Inc,,RES2010BS-51LFP,Lithium Iron Phosphate,"10 kW, 20 kWh lithium iron phosphate battery",CSA Group,14/09/2022,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,11/04/2023,
Schneider Electric IT Corporation,,BAT-10,Lithium Iron Phosphate,"8.1  kW, 10.56 kWh, Lithum Iron Phosphate battery",CSA Group,21/07/2023,Ed. 3 : 2022,10.56,8.1,No Information Submitted,No Information Submitted,N,,11/10/2023,11/01/2024
Schneider Electric IT Corporation,,BAT10K1,Lithium Iron Phosphate,"8.1  kW, 10.56 kWh, Lithum Iron Phosphate battery",CSA Group,21/07/2023,Ed. 3 : 2022,10.56,8.1,No Information Submitted,No Information Submitted,N,,11/10/2023,11/01/2024
"ShanDong Sacred Sun Power Sources Co., Ltd",,FCIFP48100A,Lithium Iron Phosphate,"3.5 kW, 4.8 kWh, 48 V, 100 Ah, LFP 3U battery",Intertek,24/03/2021,Ed. 2 : 2018,4.8,3.5,No Information Submitted,No Information Submitted,N,,12/12/2022,
"ShanDong Sacred Sun Power Sources Co., Ltd",,SSIF2P15S48100C,Lithium Iron Phosphate,"3.5 kW, 4.8 kWh, 48 V, 100 Ah, LFP 5U battery",Intertek,24/03/2021,Ed. 2 : 2018,4.8,3.5,No Information Submitted,No Information Submitted,N,,12/12/2022,
"Shanghai PYTES Energy Co., Ltd.",,E-BOX 48100R,Lithium-Ion,"2.56 kW, 5.12 kWh lithium ion battery system",TUV SUD,12/01/2022,Ed. 2 : 2018,5.12,2.56,No Information Submitted,No Information Submitted,N,,13/06/2022,
"Shanghai PYTES Energy Co., Ltd.",,V5°,Lithium Iron Phosphate,"3.84 kW, 5.12 kWh lithium iron phosphate battery",TUV SUD,21/09/2023,Ed. 3 : 2022,5.12,3.84,No Information Submitted,No Information Submitted,N,,11/12/2023,
"Shanghai PYTES Energy Co., Ltd.",,V5°α,Lithium Iron Phosphate,"3.84 kW, 5.12 kWh lithium iron phosphate battery",TUV SUD,21/09/2023,Ed. 3 : 2022,5.12,3.84,No Information Submitted,No Information Submitted,N,,11/12/2023,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 12.0,Lithium Iron Phosphate,"7.5 kW, 12 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,12,7.5,No Information Submitted,No Information Submitted,N,,11/08/2021,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 16.0,Lithium Iron Phosphate,"10 kW, 16 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,16,10,No Information Submitted,No Information Submitted,N,,11/08/2021,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 20.0,Lithium Iron Phosphate,"12.5 kW, 20 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,20,12.5,No Information Submitted,No Information Submitted,N,,11/08/2021,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 24.0,Lithium Iron Phosphate,"15 kW, 24 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,24,15,No Information Submitted,No Information Submitted,N,,11/08/2021,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 28.0,Lithium Iron Phosphate,"17.5 kW, 28 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,28,17.5,No Information Submitted,No Information Submitted,N,,11/08/2021,
"Shenzhen BYD Electronics Co., Ltd.",,HVL 32.0,Lithium Iron Phosphate,"20 kW, 32 kWh lithium iron phosphate battery",SGS,12/11/2020,Ed. 2 : 2018,32,20,No Information Submitted,No Information Submitted,N,,11/08/2021,
Shenzhen BYD Lithium Battery Company Limited,,Battery-BOX H 5.0,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, Lithium-Ion (LFP) Battery",UL,21/12/2018,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,15/11/2019,
Shenzhen BYD Lithium Battery Company Limited,,Battery-BOX H 7.5,Lithium Iron Phosphate,"7.68 kW, 7.68 kWh, Lithium-Ion (LFP) Battery",UL,21/12/2018,Ed. 2 : 2018,7.68,7.68,No Information Submitted,No Information Submitted,N,,15/11/2019,
Shenzhen BYD Lithium Battery Company Limited,,Battery-BOX H 10.0,Lithium Iron Phosphate,"10.24 kW, 10.24 kWh, Lithium-Ion (LFP) Battery",UL,21/12/2018,Ed. 2 : 2018,10.24,10.24,No Information Submitted,No Information Submitted,N,,15/11/2019,
"Shenzhen Growatt New Energy Co., Ltd",,APX 5.0P-S0-US,Lithium Iron Phosphate,"2.5 kW, 5 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,5,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Co., Ltd",,APX 10.0P-S0-US,Lithium Iron Phosphate,"5 kW, 10 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,10,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Co., Ltd",,APX 15.0P-S0-US,Lithium Iron Phosphate,"7.5 kW, 15 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,15,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Co., Ltd",,APX 20.0P-S0-US,Lithium Iron Phosphate,"10 kW, 20 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,20,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Co., Ltd",,APX 25.0P-S0-US,Lithium Iron Phosphate,"12 kW, 25 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,25,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Co., Ltd",,APX 30.0P-S0-US,Lithium Iron Phosphate,"12 kW, 30 kWh lithium iron battery system",Intertek,01/06/2023,Ed. 3 : 2022,30,,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Shenzhen Growatt New Energy Technology Co., Ltd",,ARO 6.6H-C1-US,Lithium Iron Phosphate,"3.5 kW, 6.6 kWh lithium iron battery system",Intertek,27/11/2020,Ed. 2 : 2018,6.6,3.5,No Information Submitted,No Information Submitted,N,,11/03/2021,
"Shenzhen Growatt New Energy Technology Co., Ltd",,ARO 9.9H-C1-US,Lithium Iron Phosphate,"5.2 kW, 9.9 kWh lithium iron battery system",Intertek,27/11/2020,Ed. 2 : 2018,9.9,5.2,No Information Submitted,No Information Submitted,N,,11/03/2021,
